ID	toxic_elem	non_toxic_elem
0	Э блэт,мин футбол уйнарга яратам)	Э блэт,мин футбол уйнарга яратам)
1	Дорес эйтэсен авызынны сегим))))))	Дорес эйтэсен авызынны
2	блэт ойгэ бэрэнге корты керган,шуна нинди исем кушып була??	ойгэ бэрэнге керган,шуна нинди исем кушып була??
3	корт малай,...или..кыз...хуй пойми короче,но булышыгыз зинхар!	корт малай,...или..кыз...хуй пойми короче,но булышыгыз зинхар!
4	Узен сегеп ташларбыз бля	ташларбыз
5	теге, чуркалар сатып йорилэр бит эле обычно...шуны эйтэсенме?	сатып йорилэр эле обычно...шуны эйтэсенме?
6	узе усэ ул, заебали ул тырнакларыгыз белэн	усэ тырнакларыгыз белэн
7	егетем долбаеб,ни акчасы ни машинасы юк,ни эшлэми,эшлэргэ уйлыйсынмы дигэн идем упкэлэде	долбаеб,ни ни юк,ни эшлэми,эшлэргэ уйлыйсынмы дигэн упкэлэде
8	татарларның башка эше юк ич, марҗаның китабын тәрҗемә итәләр..	эше ич, марҗаның китабын тәрҗемә
9	пиздец, алкашка чыгарып бетерделэр и вообще, кем эйтте сон сезгэ мин эчтем дип_))	чыгарып бетерделэр и вообще, кем сон сезгэ мин эчтем дип_))
10	админ анонмно тугел дидем бит раздолбай булма инде)	админ анонмно раздолбай булма
11	бля))))маладис инде узен)))))	бля))))маладис
12	Хәзер инде бу сүз белән ахмак яки наив кешеләрне атыйлар.	Хәзер сүз белән ахмак яки наив
13	Эчсен,тартсын,маржа гына булмасын   	Эчсен,тартсын,маржа булмасын
14	нинди ахмаклар йортэ бездэ машинаны???	нинди йортэ машинаны???
15	Сэгэтлэп жибэрсэн выгодней,снимать итеп кылар бн ял итучелэр да@хуя булыр)))	Сэгэтлэп жибэрсэн выгодней,снимать итеп бн итучелэр да@хуя булыр)))
16	Аделия узе язып мазга  сегеп утырадыр эле))))	Аделия язып мазга утырадыр эле))))
17	ох блэт кызлар))	
18	узегездэн генэ алихэ ясамагыз инде бля!	генэ алихэ
19	язасын кайбер вакытта жавапта язмыйлар, каблук астына керу туйдыра например, вот потом и хуй забивают	язасын кайбер вакытта жавапта язмыйлар, каблук керу туйдыра например, вот потом и забивают
20	Сугенмэ, блэт!:))	Сугенмэ,
21	Сезгэ шул бляльлэр генэ кирэк инде йоргэндэ ...	Сезгэ бляльлэр генэ кирэк йоргэндэ ...
22	Эбием-татар карчыгы-булэклэр бирми иде, маржаны яраткан эчен каргый да, тирги иде	Эбием-татар карчыгы-булэклэр яраткан эчен да, тирги
23	Ой, башка группадан спиздили инде бу язманы)	Ой, группадан спиздили язманы)
24	хуйня инде бер суксан ката торган, куркып тормаска кирэк юк бар нэмэдэ	бер ката торган, куркып тормаска кирэк бар нэмэдэ
25	кеше бит нехира мында юк	нехира
26	ошамай икэн уебывайте,берседэ тотмый.	уебывайте,берседэ тотмый.
27	Все заебали,кайсы кызга барып эндэшмэ бар да блядь .......	Все заебали,кайсы кызга барып эндэшмэ бар да .......
28	Матур,аххххуенный жырлар жибэрегез эле дуслар;))	Матур,аххххуенный жибэрегез эле дуслар;))
