toxic_sentence	lang
Well, let's go, let's go, I'll say something nice;-) maybe I'll say something like that or like a horse	en
Where can we go to eat? You'll get tired of being so thin	en
It's like a horse, maybe I'll say that :) Or maybe it's like a horse's neigh	en
Before you say such words, get out of here and shut up!!! So that others don't hear what you're saying!!!	en
you're not there, so don't interfere)	en
they won't kick you out of there anyway, so sit still on your ass	en
Aynur. Jamshid! First, read the author's name well, then comment.... don't be a fool!	en
I'm tired, man!)) I won't even leave the house, I'll just sleep =D	en
I had a problem, my phone's memory is full, damn it! What a mess, damn it.	en
Don't write nonsense, Bambuk! 	en
@user, come on, let's go, don't be lazy!	en
I have 7 songs in my head, I've never seen their BANK in my life, that's why I'm shouting at them!!!	en
Lying under the Russian like a mat!	en
Shame on all of you! You shout that you're Tatar, but you write in Russian!!! What's wrong with you???!	en
damn, you're sectarians. what kind of stupid question is this? decide for yourself!	en
If I were a guy, I wouldn't go to a night party! Or I wouldn't stay! If you're looking for adventure, create your own!!	en
Patriotism? Ha, I'm Tatar, maybe you're Russian, I won't be a patriot for the sake of Russia, sorry...	en
Damn, I'll tell you my name, let's see what you'll do!	en
What's the point of arguing about something you love?!	en
damn, there are no more guys like that... pity... can't go to Germany anymore!!	en
Nightmare. Priests and mullahs are taking over, damn it!	en
not a secret hero, our idiot!!!)	en
if I call your group useless or nonsense, I'll come to your house and kick your ass!	en
they can't just sit and cry.... let's shout together!!!	en
Hey, why did you delete the comment? damn it! I'll come and kick your ass!	en
Girls! Don't think about getting married, it's true! Where will we find pure Tatar girls?....	en
post a beautiful photo, and take this nonsense down!	en
and you're also a pain!	en
Damn conversation! Screw you!	en
well, nothing special, go to hell, you queer, take your dirty ass and get out of here, don't bother me, you're annoying... damn, I have no words!	en
In Aktanysh, not a single normal girl is left! My friend says: -you'll dance with anyone, damn it!	en
there's no one better than a person who abandons their child and gives their parents' house to their child!	en
live without brains, friends!!!! if you stick your finger in your ear, you won't become someone else!	en
those girls writing in Russian and Tatar at the same time! what the hell!	en
he worked at the AvtoVAZ factory, the hands of the car assemblers were covered in dirt and scratches!	en
you're our symbol! look at your own face! shame on you!!!	en
what kind of nonsense is this in Archa!!!	en
you have to eat like an animal, and even if you're dirty, you have to clean up!	en
write in Tatar, and don't be a fool!	en
let's go have fun!) and it's cool	en
