ID	tat_toxic	tat_detox1
0	@user, ну чапай чапай эйтер идем инде;-)эйтеп тормыйм	@user, ну чапай чапай инде ;-) әйтеп тормыйм
1	Купме ашарга була инде? Симереп чучка буласыз бит	Күпме ашарга була инде? Симереп кабартмага әйләнергә була бит.
2	Ул ат кебек ыржая дип әйтергә дә мөмкин :) Яки аттай ыржайдырды	Ул ат кебек ыржаеп көлә дип әйтергә дә мөмкин :) Яки айрышлы гына ыржайдырды.
3	Мондый сузлэрне эйткэнче ук чыгып асылын ангыра!!! Авызын ни эйткэнне колагын ишетсен!!!	Мондый сүзләрне әйткәнче чыгыгыз һәм үз сүзләрегезгә игътибар итегез! Авызыгыз ни әйткәнен колагыгыз ишетсен!
4	синен бук эшендэ юк анда,эчен пошмасын!)	Синең анда бернинди катнашың юк, эчең пошмасын!
5	сине анда барыбер котеп ятмыйлар,так что,сиди ровно на жопе	Сине анда барыбер көтеп ятмыйлар, шуңа күрә тыныч кына утыр.
6	Айнур.Джамшед!башта яхшылап укыгыз авторнын нэрсэ эйтэсе килгэнен,бармак белэн кут....ы бутамагыз!	Айнур. Җәмшит! Башта яхшылап укыгыз авторның нәрсә әйтергә теләгәнен, бармагыгызны якын нәрсәләр белән бутамагыз!
7	алдыйм инде мин!)) минеке блин йорттан да чыкмый, ойдэ гэнэ сосоп ята =D	Алдыйм мин!)) Минеке йорттан да чыкмый, өйдә генә утыра =D
8	Проблема имел блин, телефонные памяты тулган икэн кемнендер! Кара кайгы блин.	Проблема чыкты, телефонның хәтере тулган икән кемнекедер! Җан тынычлык белән карап чыктым.
9	Бамбуклар, хуйня язып ятмагыз Эле !	Бамбуклар, юк-бар язып ятмагыз Эле!
10	@user, син кил давай, кутак сырлама!	@user, син кил давай, юк-бар сөйләп йөрмә!
11	Булат минем ойда бар 7 песи, гомерда да курган юк аларнын БАНКА эчена кереп чыкааннарын, ул хатлем ангыра тугель алар!!!	Булат минем ойда бар 7 песи, гомерда да курган юк аларнын БАНКА эченә кереп чыканнарын, ул хатлем аңгыра түгел алар!
12	Кутлак кебек урыс астына яткан!	Кутлак кебек башларын югалтып урыс астына яткан!
13	Барыгызга да оят! Татармын дип тамак ертып кычкырасыз, э узегегез русча язышасыгыз!!! Бу ни бу???!!!	Барыгызга оят! Татармын дип тамак ертып кычкырасыз, ә үзегез русча язышасыз!!! Бу нәрсә бу???!!!
