ID	tat_toxic	tat_detox1
0	Э блэт,мин футбол уйнарга яратам)	Э блэт,мин футбол уйнарга яратам)
1	Дорес эйтэсен авызынны сегим))))))	Дорес эйтэсен авызынны сегим))))))
2	блэт ойгэ бэрэнге корты керган,шуна нинди исем кушып була??	блэт ойгэ бэрэнге корты керган,шуна нинди исем кушып була??
3	корт малай,...или..кыз...хуй пойми короче,но булышыгыз зинхар!	корт малай,...или..кыз...хуй пойми короче,но булышыгыз зинхар!
4	Узен сегеп ташларбыз бля	Узен сегеп ташларбыз бля
5	теге, чуркалар сатып йорилэр бит эле обычно...шуны эйтэсенме?	теге, чуркалар сатып йорилэр бит эле обычно...шуны эйтэсенме?
6	узе усэ ул, заебали ул тырнакларыгыз белэн	узе усэ ул, заебали ул тырнакларыгыз белэн
7	егетем долбаеб,ни акчасы ни машинасы юк,ни эшлэми,эшлэргэ уйлыйсынмы дигэн идем упкэлэде	егетем долбаеб,ни акчасы ни машинасы юк,ни эшлэми,эшлэргэ уйлыйсынмы дигэн идем упкэлэде
8	татарларның башка эше юк ич, марҗаның китабын тәрҗемә итәләр..	татарларның башка эше юк ич, марҗаның китабын тәрҗемә итәләр..
9	пиздец, алкашка чыгарып бетерделэр и вообще, кем эйтте сон сезгэ мин эчтем дип_))	пиздец, алкашка чыгарып бетерделэр и вообще, кем эйтте сон сезгэ мин эчтем дип_))
10	админ анонмно тугел дидем бит раздолбай булма инде)	админ анонмно тугел дидем бит раздолбай булма инде)
11	бля))))маладис инде узен)))))	бля))))маладис инде узен)))))
12	Хәзер инде бу сүз белән ахмак яки наив кешеләрне атыйлар.	Хәзер инде бу сүз белән ахмак яки наив кешеләрне атыйлар.
13	Эчсен,тартсын,маржа гына булмасын   	Эчсен,тартсын,маржа гына булмасын   
14	нинди ахмаклар йортэ бездэ машинаны???	нинди ахмаклар йортэ бездэ машинаны???
15	Сэгэтлэп жибэрсэн выгодней,снимать итеп кылар бн ял итучелэр да@хуя булыр)))	Сэгэтлэп жибэрсэн выгодней,снимать итеп кылар бн ял итучелэр да@хуя булыр)))
16	Аделия узе язып мазга  сегеп утырадыр эле))))	Аделия узе язып мазга  сегеп утырадыр эле))))
17	ох блэт кызлар))	ох блэт кызлар))
18	узегездэн генэ алихэ ясамагыз инде бля!	узегездэн генэ алихэ ясамагыз инде бля!
19	язасын кайбер вакытта жавапта язмыйлар, каблук астына керу туйдыра например, вот потом и хуй забивают	язасын кайбер вакытта жавапта язмыйлар, каблук астына керу туйдыра например, вот потом и хуй забивают
20	Сугенмэ, блэт!:))	Сугенмэ, блэт!:))
21	Сезгэ шул бляльлэр генэ кирэк инде йоргэндэ ...	Сезгэ шул бляльлэр генэ кирэк инде йоргэндэ ...
22	Эбием-татар карчыгы-булэклэр бирми иде, маржаны яраткан эчен каргый да, тирги иде	Эбием-татар карчыгы-булэклэр бирми иде, маржаны яраткан эчен каргый да, тирги иде
23	Ой, башка группадан спиздили инде бу язманы)	Ой, башка группадан спиздили инде бу язманы)
24	хуйня инде бер суксан ката торган, куркып тормаска кирэк юк бар нэмэдэ	хуйня инде бер суксан ката торган, куркып тормаска кирэк юк бар нэмэдэ
25	кеше бит нехира мында юк	кеше бит нехира мында юк
26	ошамай икэн уебывайте,берседэ тотмый.	ошамай икэн уебывайте,берседэ тотмый.
27	Все заебали,кайсы кызга барып эндэшмэ бар да блядь .......	Все заебали,кайсы кызга барып эндэшмэ бар да блядь .......
28	Матур,аххххуенный жырлар жибэрегез эле дуслар;))	Матур,аххххуенный жырлар жибэрегез эле дуслар;))
29	Не заебалисьмы кызларны чэйнэп?	Не заебалисьмы кызларны чэйнэп?
30	хуйня ул, главный тазалык булсын_)))	хуйня ул, главный тазалык булсын_)))
31	секте моны укырга  кыскача гына эйтеп бирегез.	секте моны укырга  кыскача гына эйтеп бирегез.
32	эллэ маржалар безнен турында кыек суз эйтте?	эллэ маржалар безнен турында кыек суз эйтте?
33	Бу \"не татарин\" туйдырды инде, энэ маржушкаларга влюбляться итсен, татар кызларына карап селэгэй агызганчы	Бу \"не татарин\" туйдырды инде, энэ маржушкаларга влюбляться итсен, татар кызларына карап селэгэй агызганчы
34	а никого не нужно учить,ак каенга ак каен,уз раздолбай булсан шушы хатан да сина элэгер!	а никого не нужно учить,ак каенга ак каен,уз раздолбай булсан шушы хатан да сина элэгер!
35	татар кызы татарча язган булыр иде)маржа?	татар кызы татарча язган булыр иде)маржа?
36	шул кадэр синен яраткан ризыгынны бирсэлэр син дэ в ахуе булыр иден	шул кадэр синен яраткан ризыгынны бирсэлэр син дэ в ахуе булыр иден
37	авызынны сегим сарык бля, булды житэр инде, мин анын бн сойлэшмим дэ	авызынны сегим сарык бля, булды житэр инде, мин анын бн сойлэшмим дэ
38	2 симкалы 2 нече эшлэми нихера)	2 симкалы 2 нече эшлэми нихера)
39	оглянулся ниндидер охуенный зур хуйня очып китте, эт чаклы узе, койма остеннэн, жил чыгарып, яктыурыннан очканда канатларын курдем где то 2-3 метр не меньше	оглянулся ниндидер охуенный зур хуйня очып китте, эт чаклы узе, койма остеннэн, жил чыгарып, яктыурыннан очканда канатларын курдем где то 2-3 метр не меньше
40	актанышта педиклар купме??	актанышта педиклар купме??
41	маржа телде аралашасын..татарлар бэлэн	маржа телде аралашасын..татарлар бэлэн
42	синен, очен государство тугел дер, минем очен ул туган ил, государство бляяять!	синен, очен государство тугел дер, минем очен ул туган ил, государство бляяять!
43	Узем кайтам хэзер блэт:)	Узем кайтам хэзер блэт:)
44	А мин ана эйттем: блэтлэрен кырнда бул, конлэшеп чере!	А мин ана эйттем: блэтлэрен кырнда бул, конлэшеп чере!
45	эх сез мескенлер, маржаларга ярарга булып бирелесез...уз туган телебезге горур булмый шул хадер матур телебезге.	эх сез мескенлер, маржаларга ярарга булып бирелесез...уз туган телебезге горур булмый шул хадер матур телебезге.
46	Ешрак курсэтегез шул матур халыкны безнен блэтлэргэ, может уянып та китэрлэр.	Ешрак курсэтегез шул матур халыкны безнен блэтлэргэ, может уянып та китэрлэр.
47	ярый инде шунда эзерэк лох булырга	ярый инде шунда эзерэк лох булырга
48	Алтын Балыкка керен, так наебут, исерсэн здача бирмилэр, хэм кешедэн калганын  саталар!!!!	Алтын Балыкка керен, так наебут, исерсэн здача бирмилэр, хэм кешедэн калганын  саталар!!!!
49	Ахуенный жегеь Ильдар тугелме?:)	Ахуенный жегеь Ильдар тугелме?:)
50	элек изге айда лохотрон бар иде)))5 сум тыгып акча коела торган))))))))	элек изге айда лохотрон бар иде)))5 сум тыгып акча коела торган))))))))
51	Бляяя нинди замана сон бу???	Бляяя нинди замана сон бу???
52	 Уже баганаларга доебались!	 Уже баганаларга доебались!
53	Делать нех кешегэ!	Делать нех кешегэ!
54	Сораштыру үткәрергәме әллә,төркемне\"марҗалар поймут\"дип үзгәртергә?	Сораштыру үткәрергәме әллә,төркемне\"марҗалар поймут\"дип үзгәртергә?
55	Бушка бар анда, ансы так сказать \"гавно\" ул.	Бушка бар анда, ансы так сказать \"гавно\" ул.
56	Татарлар, ахмак булмагыз инде, үз җирегезгә хуҗа булыгыз!	Татарлар, ахмак булмагыз инде, үз җирегезгә хуҗа булыгыз!
57	эстэгэфирулла,нэрсэ дип яза бит,блэт)	эстэгэфирулла,нэрсэ дип яза бит,блэт)
58	охшамаса безнен авыл клубы,кит моннан)	охшамаса безнен авыл клубы,кит моннан)
59	Урыслашып беткәнсез инде, мин магазиннарда, башка урыннарда гел татарча сорыйм, татарча җавап бирәләр, хәтта марҗалар да татарча аңлый.	Урыслашып беткәнсез инде, мин магазиннарда, башка урыннарда гел татарча сорыйм, татарча җавап бирәләр, хәтта марҗалар да татарча аңлый.
60	Яраткан кызым бар, тик ул егетләр бн аралаша, бывшыйлары яза  и дуслары,  үзе сөйли бар нәрсәнедә, егетләр бн очрашып йөри урамнарда йөрилар,  әйтегеә ничек көнләшүемне тотып торырга,  баырп күтләрен сегәсе килә( гафу итегез шундый сүзләргә)?	Яраткан кызым бар, тик ул егетләр бн аралаша, бывшыйлары яза  и дуслары,  үзе сөйли бар нәрсәнедә, егетләр бн очрашып йөри урамнарда йөрилар,  әйтегеә ничек көнләшүемне тотып торырга,  баырп күтләрен сегәсе килә( гафу итегез шундый сүзләргә)?
61	алкаш кешенен виськар тугел сасыган сэмэйгэ дэ акчасы булмый, хуйню не несите люди	алкаш кешенен виськар тугел сасыган сэмэйгэ дэ акчасы булмый, хуйню не несите люди
62	у него дохуя баб будет сина гына калмас эле))))))	у него дохуя баб будет сина гына калмас эле))))))
63	заебали сез аяк атстына шартлаткыч	заебали сез аяк атстына шартлаткыч
64	блэт, бу дорожникларнын акыллары бар микэн?	блэт, бу дорожникларнын акыллары бар микэн?
65	Сонгы сериясе булды буген,уксеплэр жыладым,не справедливо булып бетте блэт (((	Сонгы сериясе булды буген,уксеплэр жыладым,не справедливо булып бетте блэт (((
66	Бу төркемдә (башкаларда кебек үк) ахмак әйберләр язучылар да, ясаучылар да бихисап, барысына җавап бирү яки аларның мөгамәләләре белән баш вату урынсыз.	Бу төркемдә (башкаларда кебек үк) ахмак әйберләр язучылар да, ясаучылар да бихисап, барысына җавап бирү яки аларның мөгамәләләре белән баш вату урынсыз.
67	Сегенмэээн:)нихуя алай тугел:)	Сегенмэээн:)нихуя алай тугел:)
68	кызык долбаеб егетнен кызы кем була икэн?	кызык долбаеб егетнен кызы кем була икэн?
69	Дуслар маржа кызлары белэн йорегез,алар добрый,не то что безнен куктэн \"очып\" йори торган Актаныш кызлары	Дуслар маржа кызлары белэн йорегез,алар добрый,не то что безнен куктэн \"очып\" йори торган Актаныш кызлары
70	Алмаз, марҗа кызын кияүгә ал	Алмаз, марҗа кызын кияүгә ал
71	тышка чыгыгыз эле эз генэ булса да заебали	тышка чыгыгыз эле эз генэ булса да заебали
72	яшэргэ ойрэтэ ул мине блэт... узенен кулыннан кутак ярысы да килми, айныгач махмырдан улеп бара торган кеше генэ инде узе)))	яшэргэ ойрэтэ ул мине блэт... узенен кулыннан кутак ярысы да килми, айныгач махмырдан улеп бара торган кеше генэ инде узе)))
73	Малолетка кызлар дохуя икэн:)	Малолетка кызлар дохуя икэн:)
74	бля сезгэ катле безнен эни эбилэр бетенесен эшлэгэннэр бит эле зарланмаганнар)	бля сезгэ катле безнен эни эбилэр бетенесен эшлэгэннэр бит эле зарланмаганнар)
75	Уз кузен белэн курмэсэн жыен эктем-сектемнен сузенэ ышанып ятма Регинакаем......	Уз кузен белэн курмэсэн жыен эктем-сектемнен сузенэ ышанып ятма Регинакаем......
76	Нах яздыгыз бля,мина садиктан добавляются уже кызлар:ъ	Нах яздыгыз бля,мина садиктан добавляются уже кызлар:ъ
77	не ну вы вот че херню несете,сина кеше \"бир\" дисэ барып бирэсен мени??	не ну вы вот че херню несете,сина кеше \"бир\" дисэ барып бирэсен мени??
78	кутен кергэн малым юк, ата- ана малы калмады, тапканыбыз хэлэл.	кутен кергэн малым юк, ата- ана малы калмады, тапканыбыз хэлэл.
79	Исэн,берни булмаган анда,пиздеж	Исэн,берни булмаган анда,пиздеж
80	Не хуя да гонах тугел инде аларга ышану)	Не хуя да гонах тугел инде аларга ышану)
81	Арча урамнары бик сагындыра бляха муха))	Арча урамнары бик сагындыра бляха муха))
82	бер нормальный кыз калмадыга дигэн егеткэ кайнар сэлам:)плохо ищешь,значит, лох син:)	бер нормальный кыз калмадыга дигэн егеткэ кайнар сэлам:)плохо ищешь,значит, лох син:)
83	Салкын монда блэт	Салкын монда блэт
84	Кем куймый шул усрак)))	Кем куймый шул усрак)))
85	пиздец бля, бер карыйм дорес чыга, тагын карыйм нихуя	пиздец бля, бер карыйм дорес чыга, тагын карыйм нихуя
86	Кем минем МужиГка пиздец ясый анда?	Кем минем МужиГка пиздец ясый анда?
87	выебываться итер очен чабкан кешелэр ну сез далбаеплар,сез анлагыз инде ременьда гел булышмый,результатлар печальный була,эйдэгез экренлэп кенэ по правилам ойри башлыйк э?	выебываться итер очен чабкан кешелэр ну сез далбаеплар,сез анлагыз инде ременьда гел булышмый,результатлар печальный була,эйдэгез экренлэп кенэ по правилам ойри башлыйк э?
88	юк блэт :)	юк блэт :)
89	\"Эйэгез\"-заебал бу суз...	\"Эйэгез\"-заебал бу суз...
90	ике егет бер кыз очен кут ертып йорергэ тиеш тугел инде))	ике егет бер кыз очен кут ертып йорергэ тиеш тугел инде))
91	КГЭУ да дохуядан да күберәк Татарлар!)))	КГЭУ да дохуядан да күберәк Татарлар!)))
92	Татар кызы ни, маржа ни- кайда аерма курэсез?	Татар кызы ни, маржа ни- кайда аерма курэсез?
93	Марҗа  егетләрнең  чыраен  җимереп булса   марҗа  кызлары  белән  нишләргә)	Марҗа  егетләрнең  чыраен  җимереп булса   марҗа  кызлары  белән  нишләргә)
94	Купчелек  бит марҗа кызлары  каршы  чыга  татар теленә .	Купчелек  бит марҗа кызлары  каршы  чыга  татар теленә .
95	Алай итеп түгел инде, ахмак – озын итеп!	Алай итеп түгел инде, ахмак – озын итеп!
96	Нихуя хочу дип кенэ булмый Инде ))))	Нихуя хочу дип кенэ булмый Инде ))))
97	кутенэ тибэсе килэ ахрысы анын сина	кутенэ тибэсе килэ ахрысы анын сина
98	корсаклы булмаса бер суземдэ юк,но блять на хуй ребенка травить	корсаклы булмаса бер суземдэ юк,но блять на хуй ребенка травить
99	Айгуль, эйе, татарлар тырышмыйлар маржаларга бирергэ.	Айгуль, эйе, татарлар тырышмыйлар маржаларга бирергэ.
100	шапшак дип эйтэлэр	шапшак дип эйтэлэр
101	моллиегезне тотып сия белмэгэн башыгыз бн, 15-16 яшьлеклэргэ ымсынасыз эллэ????	моллиегезне тотып сия белмэгэн башыгыз бн, 15-16 яшьлеклэргэ ымсынасыз эллэ????
102	Бу маржа теле бер паразит кебек, тик ияреп йори шунда	Бу маржа теле бер паразит кебек, тик ияреп йори шунда
103	Кыз алдаша башлады эле,кутенэ тибергэ микэн?	Кыз алдаша башлады эле,кутенэ тибергэ микэн?
104	Татарча сөйләшәсезме бләт ?	Татарча сөйләшәсезме бләт ?
105	Акыллы кеше аздан гына да бәхетле, ахмакка һәрвакыт җитми, шуңа күрә бик күп кешеләр бәхетсез (Франсуа де Ларошфуко).	Акыллы кеше аздан гына да бәхетле, ахмакка һәрвакыт җитми, шуңа күрә бик күп кешеләр бәхетсез (Франсуа де Ларошфуко).
106	Кызлар очен икесе дэ хуйня булырга тиеш, вообще то!	Кызлар очен икесе дэ хуйня булырга тиеш, вообще то!
107	Кутак башлар блять	Кутак башлар блять
108	уляяяям мин хэзер, бу  херняны  ятлап	уляяяям мин хэзер, бу  херняны  ятлап
109	бэтэк авыз,\"кызым сина да\" кая?:)	бэтэк авыз,\"кызым сина да\" кая?:)
110	яратыгыз блэт аларны да,аларнын да бит йорэклэре бар!!!	яратыгыз блэт аларны да,аларнын да бит йорэклэре бар!!!
111	80 елларда гел жигули, ваз, москвичта йоргэннэр берседэ гавно дип эйтмэгэндер эле!	80 елларда гел жигули, ваз, москвичта йоргэннэр берседэ гавно дип эйтмэгэндер эле!
112	Кешешэ чэ телдэ яз эле заебал)))	Кешешэ чэ телдэ яз эле заебал)))
113	Минем потолокка фотка ябыштырса берэу, эни башын сегеп ата)	Минем потолокка фотка ябыштырса берэу, эни башын сегеп ата)
114	Язуларга бэйлэнуче дахуя эмма соруга берэудэ жавап язмый шул!!!	Язуларга бэйлэнуче дахуя эмма соруга берэудэ жавап язмый шул!!!
115	ул лох тугел ул белем алырга телэгэн кеше була)	ул лох тугел ул белем алырга телэгэн кеше була)
116	атырга нахуй!	атырга нахуй!
117	бля... минем ир тугел микэн	бля... минем ир тугел микэн
118	шулай да Илсөяр дә ахмак	шулай да Илсөяр дә ахмак
119	рэхмэт укытучыларга лучше укыр идем блять!!!	рэхмэт укытучыларга лучше укыр идем блять!!!
120	КАЙБЕР малайлар вообще охуели, млээээ сарык жыен.	КАЙБЕР малайлар вообще охуели, млээээ сарык жыен.
121	ууу,нинди нэфрэт чуркаларга,нишлэттелэр алар сине?))	ууу,нинди нэфрэт чуркаларга,нишлэттелэр алар сине?))
122	блэт нормальный кешеседэ калмады бу доняда,кичэ бер эби егылды,ничэмэ кеше узып китте берседэ булышмады,кая бара бу доня?	блэт нормальный кешеседэ калмады бу доняда,кичэ бер эби егылды,ничэмэ кеше узып китте берседэ булышмады,кая бара бу доня?
123	машина хлоп артка бара, блэт анда артта кирпичлар тора иде, бәргән кароч.. (((((((	машина хлоп артка бара, блэт анда артта кирпичлар тора иде, бәргән кароч.. (((((((
